,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
228,BEEF,BRISKET,61.2590909090909,220.21212121212122,25.56424242424242,12.420909090909092,0.970909090909091,0.0036363636363636364,0.0,0.0,13.090909090909092,2.3033333333333337,21.09090909090909,198.9090909090909,286.42424242424244,65.36363636363636,6.0996969696969705,0.09436363636363639,0.01063636363636364,25.75151515151515,0.0,0.07015151515151515,0.17742424242424246,4.530909090909091,0.5473333333333332,0.3902121212121211,8.212121212121213,0.0,8.212121212121213,7.545454545454546,96.06666666666668,2.136969696969697,1.696969696969697,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.28303030303030297,0.05454545454545455,2.121212121212121,1.3242424242424242,4.851242424242424,5.53957575757576,0.4495454545454546,85.57575757575758,69.54999999999997,597.9818181818181,7.909090909090909
229,BEEF,BTTM SIRLOIN,68.201,171.5,23.130000000000003,8.146,1.051,0.0,0.0,0.0,21.9,1.5870000000000002,21.9,198.6,328.0,53.6,4.159000000000001,0.07369999999999999,0.010799999999999999,26.9,0.0,0.0678,0.1155,6.7791,0.5747,0.5705,10.5,0.0,10.5,10.5,92.72,1.2280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.28,2.9001,3.9816000000000003,0.3172999999999999,70.5,85.0,384.4,3.7
230,BEEF,CARCASS,57.735,284.5,17.4,23.3,0.815,0.0,0.0,0.0,8.0,1.84,17.0,155.0,269.0,59.0,3.58,0.069,0.013,17.0,0.0,0.08,0.165,3.54,0.32,0.33,7.0,0.0,7.0,7.0,0.0,2.6799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.455,10.145,0.89,74.0,28.35,453.6,19.5
231,BEEF,CHCK,61.318,216.4,25.356,12.078,1.218,0.078,0.0,0.0,10.6,2.686,22.0,202.2,307.6,67.6,8.214,0.093,0.010399999999999998,30.619999999999997,0.0,0.0794,0.22800000000000004,4.0552,0.5032,0.378,6.0,0.0,6.0,6.0,67.62,3.5119999999999996,12.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.13199999999999998,0.08,3.0,1.02,4.7264,5.5444,0.5660000000000001,80.8,85.0,514.52,13.8
232,BEEF,CHCK EYE RST,61.29,229.0,24.86,14.41,0.94,0.0,0.0,0.0,19.0,2.16,20.0,185.0,312.0,76.0,8.24,0.067,0.012,26.3,0.0,0.067,0.174,4.314,0.663,0.382,6.0,0.0,6.0,6.0,65.0,2.66,23.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,4.0,1.6,6.192,6.843,0.679,81.0,85.0,645.0,7.0
233,BEEF,CHK,65.20571428571427,189.76190476190476,23.097142857142863,10.702380952380953,1.0823809523809527,0.16476190476190475,0.0,0.0,12.523809523809524,2.6890476190476194,21.571428571428573,197.66666666666666,322.42857142857144,74.42857142857143,8.537142857142857,0.09033333333333333,0.014904761904761912,26.609523809523807,0.0,0.08080952380952382,0.21290476190476187,3.6931428571428575,0.8101904761904761,0.4034761904761905,4.380952380952381,0.0,4.380952380952381,4.380952380952381,80.60952380952382,3.3385714285714294,13.0,3.9047619047619047,3.9047619047619047,0.0,0.0,0.0,0.0,0.0,0.13190476190476189,0.10000000000000002,4.476190476190476,1.5380952380952384,4.445714285714286,5.344523809523809,0.6030000000000001,80.42857142857143,90.33333333333333,417.3809523809524,6.571428571428571
234,BEEF,CHK EYE CNTRY-STYL RIBS,51.36,303.0,27.16,21.56,0.94,0.0,0.0,0.0,16.0,2.51,16.0,169.0,241.0,65.0,8.93,0.097,0.014,31.7,0.0,0.066,0.208,3.791,0.669,0.269,7.0,0.0,7.0,7.0,88.9,3.12,26.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,6.0,1.6,9.268,10.359,0.88,96.0,85.0,224.0,9.0
235,BEEF,CHK EYE CNTRY-STYLE RIBS,63.00500000000001,224.0,21.3525,15.4175,0.91,0.0,0.0,0.0,14.5,2.1725,16.75,176.25,279.75,74.0,7.157500000000001,0.08325,0.0125,21.9,0.0,0.069,0.17400000000000002,3.883,0.63925,0.32275000000000004,4.0,0.0,4.0,4.0,71.375,2.9299999999999997,17.25,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1275,0.1,4.5,1.525,6.74175,7.54175,0.6752499999999999,76.5,85.0,306.75,8.75
236,BEEF,CHK EYE COUNTRY-STYLE RIBS,71.19,146.0,20.96,6.95,0.96,0.0,0.0,0.0,15.0,2.24,18.0,193.0,317.0,82.0,7.44,0.093,0.014,21.3,0.0,0.07,0.187,4.167,0.71,0.357,3.0,0.0,3.0,3.0,74.0,3.24,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.5,3.03,3.55,0.34,70.0,85.0,331.0,22.0
237,BEEF,CHK EYE CTRY-STYLE RIBS,51.91,296.0,27.69,20.55,0.96,0.0,0.0,0.0,16.0,2.49,17.0,172.0,247.0,65.0,8.91,0.093,0.014,30.7,0.0,0.066,0.209,3.804,0.644,0.272,7.0,0.0,7.0,7.0,88.8,3.1,27.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,6.0,1.6,9.009,9.997,0.884,96.0,85.0,227.0,9.0
238,BEEF,CHK EYE RST,65.54,187.66666666666666,23.906666666666666,10.2,0.9916666666666666,0.0,0.0,0.0,18.0,2.308333333333333,21.166666666666668,200.33333333333334,331.1666666666667,80.0,8.890000000000002,0.07183333333333335,0.012333333333333333,24.833333333333332,0.0,0.07133333333333335,0.17783333333333332,4.523833333333334,0.6801666666666666,0.39133333333333337,5.0,0.0,5.0,5.0,76.31666666666666,3.1316666666666673,10.833333333333334,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.155,0.09999999999999999,4.666666666666667,1.5666666666666664,4.148833333333333,4.9430000000000005,0.4533333333333333,78.33333333333333,85.0,823.6666666666666,14.833333333333334
239,BEEF,CHK EYE STEAK,54.74,283.0,24.95,20.35,0.94,0.0,0.0,0.0,15.0,2.46,21.0,192.0,333.0,71.0,8.63,0.079,0.012,26.8,0.0,0.066,0.188,4.649,0.746,0.357,6.0,0.0,6.0,6.0,75.8,2.89,24.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.0,1.6,8.677,9.479,0.799,86.0,85.0,307.0,6.0
240,BEEF,CHUCK,61.14866666666671,216.50666666666666,25.958800000000007,12.008666666666661,1.0889333333333329,0.010133333333333333,0.0,0.0,11.92,2.7496000000000005,21.52,201.98666666666668,297.2266666666667,68.09333333333333,8.064533333333332,0.10362666666666669,0.010666666666666672,27.737333333333343,0.0,0.08525333333333339,0.22049333333333324,3.733373333333334,0.57928,0.3469333333333333,7.48,0.0,7.48,7.48,91.4746666666667,3.0791999999999984,4.933333333333334,1.4666666666666666,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.1932,0.08799999999999993,3.84,1.0546666666666662,4.667306666666667,5.5976799999999995,0.5536000000000001,88.16,80.16733333333332,401.6186666666665,16.626666666666665
241,BEEF,CHUCK EYE COUNTRY-STYLE RIBS,64.2175,186.0,26.255000000000003,9.005,1.0275,0.0,0.0,0.0,15.75,2.555,18.75,199.0,298.5,75.5,9.0775,0.09875,0.016,28.349999999999998,0.0,0.07,0.21249999999999997,4.17675,0.7075,0.32325,5.5,0.0,5.5,5.5,88.45,3.32,6.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1225,0.125,4.5,1.55,3.59225,4.91275,0.4845,85.0,85.0,280.0,24.0
242,BEEF,CHUCK EYE RST,69.15799999999999,168.6,21.022,9.4,0.984,0.0,0.0,0.0,18.2,2.182,20.0,194.2,350.6,82.0,8.113999999999999,0.06620000000000001,0.0108,23.2,0.0,0.0674,0.1602,4.5374,0.6543999999999999,0.402,3.8,0.0,3.8,3.8,66.32000000000001,2.806,10.2,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.154,0.1,3.8,1.52,3.9302,4.905399999999999,0.4732,72.8,85.0,830.8,11.6
243,BEEF,CHUCK EYE STEAK,63.50727272727273,208.0909090909091,23.114545454545453,12.85090909090909,0.9454545454545454,0.0,0.0,0.0,15.636363636363637,2.4227272727272724,22.09090909090909,201.8181818181818,353.6363636363636,70.72727272727273,8.759999999999998,0.07427272727272727,0.011454545454545455,25.309090909090912,0.0,0.07172727272727274,0.17909090909090908,4.789454545454546,0.741090909090909,0.39245454545454544,4.636363636363637,0.0,4.636363636363637,4.636363636363637,76.5909090909091,3.044545454545455,12.0,3.4545454545454546,3.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.1309090909090909,0.09999999999999999,4.636363636363637,1.5454545454545454,5.484727272727272,6.354454545454545,0.573,77.0,85.0,349.54545454545456,17.09090909090909
244,BEEF,CHUCK FOR STEW,66.36,158.83333333333334,27.080000000000002,5.596666666666667,1.1816666666666666,0.08166666666666667,0.0,0.0,14.666666666666666,2.545,21.666666666666668,221.0,342.1666666666667,73.33333333333333,6.901666666666666,0.10433333333333333,0.015333333333333332,29.316666666666663,0.0,0.0775,0.2145,4.676666666666667,0.6875,0.5401666666666667,5.666666666666667,0.0,5.666666666666667,5.666666666666667,87.21666666666668,2.516666666666666,6.166666666666667,1.8333333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.13500000000000004,0.09999999999999999,4.333333333333333,1.55,2.2966666666666664,2.8706666666666667,0.36483333333333334,81.66666666666667,85.0,75.60000000000001,0.0
245,BEEF,COMP OF RTL CUTS,64.56826086956521,189.82608695652175,24.50260869565217,9.814782608695655,1.0539130434782609,0.012173913043478259,0.0,0.0,14.304347826086957,2.2308695652173918,19.82608695652174,200.1304347826087,308.82608695652175,57.65217391304348,5.253043478260869,0.07843478260869564,0.01869565217391305,27.12173913043478,0.0,0.07530434782608697,0.2123478260869565,5.666652173913045,0.5064347826086957,0.5362608695652173,6.913043478260869,0.0,6.913043478260869,6.913043478260869,74.50869565217391,2.1243478260869564,7.217391304347826,2.130434782608696,2.130434782608696,0.0,0.0,0.0,0.0,0.0,0.23304347826086957,0.091304347826087,2.739130434782609,1.408695652173913,3.9248695652173917,4.447869565217393,0.48752173913043473,75.17391304347827,100.1304347826087,0.0,0.0
246,BEEF,CORNED BF HASH,70.32,164.0,8.73,10.24,1.5,9.27,1.1,0.34,19.0,1.0,13.0,56.0,172.0,412.0,1.4,0.0,0.084,7.5,0.9,0.069,0.05,1.572,0.403,0.231,7.0,0.0,7.0,7.0,15.6,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.04,0.0,0.0,1.8,4.32,5.26,0.3,32.0,236.0,0.0,0.0
247,BEEF,CURED,57.589,241.0,20.994999999999997,16.439999999999998,4.353,1.011,0.0,0.28,8.3,2.2700000000000005,16.6,147.0,254.3,1387.4,3.9949999999999997,0.0885,0.0217,24.82,5.13,0.0634,0.1784,4.0588999999999995,0.44719999999999993,0.2447,6.8,0.0,6.8,6.8,35.92,2.2310000000000003,4.2,0.2,0.0,0.0,2.2,0.6,0.0,1.1,0.11000000000000001,0.06,2.6,0.79,6.584100000000001,7.709800000000001,0.7265,73.3,44.17,136.09499999999997,0.2
248,BEEF,FLANK,66.065,180.5,25.002857142857142,8.186428571428573,1.197142857142857,0.0,0.0,0.0,19.571428571428573,1.9057142857142857,22.857142857142858,214.35714285714286,340.14285714285717,57.714285714285715,4.629285714285714,0.08335714285714284,0.012,28.57857142857143,0.0,0.08078571428571431,0.1312142857142857,6.750214285714285,0.5554285714285715,0.556,10.357142857142858,0.0,10.357142857142858,10.357142857142858,91.25714285714287,1.622142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3528571428571428,0.028571428571428574,1.0714285714285714,1.3928571428571428,3.395357142857143,3.3034285714285714,0.304,71.5,76.90714285714286,274.5,1.7142857142857142
249,BEEF,GRASS-FED,70.275,157.5,21.245,7.71,1.7,0.0,0.0,0.0,10.5,1.92,21.0,193.5,315.5,61.5,4.08,0.0655,0.0095,17.65,0.0,0.0505,0.139,5.7605,0.627,0.503,9.5,0.0,9.5,9.5,66.25,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,1.0,3.1835,2.8975,0.32,58.5,85.0,107.0,17.0
250,BEEF,GROUND,61.49999999999998,221.21428571428572,24.620952380952378,12.855476190476192,1.02952380952381,0.01619047619047619,0.0,0.0,18.071428571428573,2.619047619047619,21.404761904761905,201.42857142857142,333.1190476190476,73.95238095238095,6.010000000000001,0.08140476190476191,0.01152380952380953,20.133333333333336,0.0,0.04257142857142856,0.17342857142857135,5.455523809523809,0.6503571428571429,0.3753809523809524,8.166666666666666,0.0,8.166666666666666,8.166666666666666,79.09047619047621,2.5835714285714286,10.238095238095237,3.2142857142857144,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.13595238095238096,0.02857142857142857,2.4761904761904763,1.592857142857143,5.080119047619046,5.632476190476191,0.41585714285714287,83.38095238095238,87.64285714285714,36.175,0.0
251,BEEF,LN,60.67857142857143,222.57142857142858,25.764285714285712,13.288571428571426,1.06,0.0,0.0,0.0,14.142857142857142,2.3099999999999996,18.571428571428573,213.57142857142858,276.0,50.0,4.091428571428571,0.06,0.0031428571428571426,24.37142857142857,0.0,0.05885714285714285,0.2067142857142857,6.6171428571428565,0.3555714285714286,0.6371428571428571,5.571428571428571,0.0,5.571428571428571,5.571428571428571,61.771428571428565,1.887142857142857,12.857142857142858,3.857142857142857,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.21142857142857144,0.09999999999999999,4.285714285714286,1.342857142857143,5.332428571428571,6.0525714285714285,0.6645714285714285,75.57142857142857,85.0,254.28571428571428,11.571428571428571
252,BEEF,LOIN,65.75060606060605,179.54545454545453,25.223484848484844,8.482575757575756,1.115454545454545,0.06545454545454546,0.0,0.0,11.909090909090908,2.604242424242423,18.62121212121212,229.71212121212122,336.54545454545456,56.15151515151515,4.864696969696969,0.08650000000000002,0.005181818181818185,25.657575757575756,0.0,0.06736363636363639,0.27980303030303033,5.584136363636363,0.2697727272727273,0.5939242424242421,5.46969696969697,0.0,5.46969696969697,5.090909090909091,46.26818181818182,3.175,9.621212121212121,2.9545454545454546,2.984848484848485,0.0,0.0,0.0,0.0,0.0,0.14545454545454548,0.0969696969696969,3.015151515151515,1.5015151515151506,3.2083181818181825,3.795151515151516,0.43354545454545457,74.56060606060606,86.5909090909091,280.44242424242424,8.257575757575758
253,BEEF,LON,60.58,208.0,28.66,10.34,1.13,0.0,0.0,0.0,13.0,2.58,22.0,226.0,293.0,56.0,4.66,0.071,0.003,26.9,0.0,0.06,0.212,7.46,0.32,0.714,7.0,0.0,7.0,7.0,68.9,1.88,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,4.0,1.6,3.917,4.59,0.545,80.0,85.0,236.0,22.0
254,BEEF,NZ,63.14135135135134,212.1891891891892,23.15243243243243,13.15108108108108,0.9978378378378376,0.3005405405405405,0.0,0.0,9.662162162162161,2.417297297297297,19.45945945945946,184.8783783783784,271.18918918918916,49.108108108108105,3.7895945945945946,0.39172972972972975,8.622013513513513,6.3810810810810805,0.0,0.07322972972972974,0.2681351351351352,3.529932432432433,0.7243378378378378,0.21139189189189192,0.0,0.0,0.0,0.0,0.0,4.896891891891892,2262.472972972973,678.7567567567568,678.7567567567568,0.0,0.0,0.0,0.0,0.0,0.6227027027027029,0.1999999999999999,7.972972972972973,0.0,4.999445945945948,4.350864864864865,0.46898648648648655,101.56756756756756,97.5945945945946,0.0,5.243243243243243
255,BEEF,PLATE,59.61,228.25,25.12,13.4025,1.01,0.0,0.0,0.0,10.75,2.71,24.25,225.25,339.0,84.25,6.472499999999999,0.091,0.0,19.25,0.0,0.10400000000000001,0.1925,4.02225,0.44075,0.40499999999999997,7.25,0.0,7.25,7.25,95.65,3.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10750000000000001,0.0,0.0,0.0,5.39225,6.793749999999999,0.5245,73.75,85.0,226.8,2.0
256,BEEF,PLATE STEAK,63.86307692307691,208.84615384615384,21.79923076923077,13.492307692307692,1.0046153846153847,0.1,0.0,0.0,6.153846153846154,3.0361538461538466,21.46153846153846,157.0,269.38461538461536,66.15384615384616,6.061538461538463,0.141,0.14076923076923079,25.96923076923077,0.0,0.08861538461538461,0.4936153846153846,5.008153846153846,0.9405384615384617,0.42984615384615377,3.923076923076923,0.0,3.923076923076923,3.923076923076923,56.46153846153845,4.381538461538461,9.615384615384615,2.8461538461538463,2.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.12615384615384617,0.13846153846153844,5.076923076923077,1.5230769230769232,5.100153846153846,5.748846153846155,0.6918461538461538,74.23076923076923,85.0,294.7692307692308,4.6923076923076925
257,BEEF,PLATE STEK,65.21000000000001,209.5,19.18,14.65,0.915,0.175,0.0,0.0,6.0,2.565,19.5,143.5,252.0,64.5,5.355,0.1275,0.1275,22.4,0.0,0.0795,0.4225,4.666499999999999,0.8605,0.403,3.0,0.0,3.0,3.0,50.2,3.7800000000000002,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,4.5,1.5,5.882,6.580500000000001,0.7085,68.0,85.0,324.0,1.0
258,BEEF,PLATE STK,54.464285714285715,260.7142857142857,28.657142857142855,16.232857142857142,1.1485714285714284,0.0,0.0,0.0,7.285714285714286,3.6128571428571425,24.142857142857142,177.14285714285714,292.42857142857144,65.85714285714286,7.714285714285715,0.15071428571428572,0.1504285714285714,34.41428571428572,0.0,0.10128571428571428,0.5601428571428572,5.869714285714285,0.9680000000000001,0.47214285714285714,6.857142857142857,0.0,6.857142857142857,6.857142857142857,68.05714285714286,5.005714285714285,17.285714285714285,5.285714285714286,5.285714285714286,0.0,0.0,0.0,0.0,0.0,0.09285714285714286,0.1142857142857143,4.714285714285714,1.5999999999999999,5.751142857142858,6.782000000000001,0.8098571428571428,96.14285714285714,85.0,219.71428571428572,2.0
259,BEEF,PLTE STK,53.739999999999995,268.5,28.21,17.335,1.1600000000000001,0.0,0.0,0.0,7.5,3.7649999999999997,23.5,176.5,289.0,66.5,7.535,0.157,0.1565,34.05,0.0,0.10250000000000001,0.5894999999999999,5.7170000000000005,1.0065,0.4665,7.0,0.0,7.0,7.0,68.65,5.3149999999999995,25.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.095,0.15000000000000002,5.0,1.6,6.231,7.256499999999999,0.8719999999999999,97.0,85.0,214.0,0.5
260,BEEF,RIB,53.88890410958904,297.90410958904107,22.56424657534246,22.442465753424667,0.9347945205479451,0.04904109589041097,0.0,0.0,13.547945205479452,2.0817808219178073,20.71232876712329,180.23287671232876,306.6027397260274,60.41095890410959,5.032191780821918,0.07784931506849314,0.010643835616438365,22.75890410958905,0.0,0.0782191780821918,0.17731506849315073,4.471506849315067,0.3288630136986301,0.3814246575342464,6.904109589041096,0.0,6.904109589041096,6.767123287671233,23.157534246575338,2.3457534246575342,2.5342465753424657,0.7808219178082192,0.7808219178082192,0.0,0.0,0.0,0.0,0.0,0.10589041095890413,0.06575342465753423,2.6301369863013697,0.7027397260273972,9.206863013698634,9.791712328767122,0.8194246575342462,81.26027397260275,69.19657534246578,497.6931506849311,28.0
261,BEEF,RIB EYE,65.245,191.5,24.560000000000002,9.64,1.0250000000000001,0.0,0.0,0.0,16.0,1.8199999999999998,22.0,190.0,326.0,55.5,5.17,0.076,0.011,23.3,0.0,0.0785,0.156,5.4625,0.4045,0.45699999999999996,7.5,0.0,7.5,7.5,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.75,3.792,3.988,0.3305,76.0,85.0,115.5,22.5
262,BEEF,RIB EYE RST,56.51083333333333,259.0,25.79666666666667,17.295,0.9991666666666665,0.0,0.0,0.0,10.833333333333334,2.1391666666666667,22.666666666666668,164.5,293.0833333333333,60.166666666666664,6.170833333333333,0.08183333333333333,0.08183333333333333,29.291666666666668,0.0,0.08708333333333333,0.29691666666666666,5.331666666666666,0.6310833333333333,0.50975,6.5,0.0,6.5,6.5,52.11666666666667,2.1925,15.916666666666666,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.09749999999999999,0.125,4.833333333333333,1.5999999999999999,7.197083333333332,8.010666666666667,0.8541666666666666,80.58333333333333,85.0,1876.3333333333333,19.333333333333332
263,BEEF,RIB EYE STEAK,62.24066666666666,212.2,24.438666666666666,12.721333333333336,0.9993333333333333,0.021333333333333333,0.0,0.0,9.6,2.2493333333333334,23.266666666666666,163.13333333333333,276.46666666666664,57.666666666666664,6.072666666666667,0.0812,0.06139999999999999,29.86,0.0,0.09293333333333334,0.294,5.4135333333333335,0.4229333333333333,0.49626666666666674,5.4,0.0,5.4,5.4,39.6,2.0733333333333333,10.466666666666667,2.933333333333333,2.933333333333333,0.0,0.0,0.0,0.0,0.0,0.07866666666666668,0.11333333333333333,4.266666666666667,1.5600000000000003,5.300066666666667,5.946533333333334,0.6379999999999999,73.86666666666666,85.0,245.26666666666668,19.933333333333334
264,BEEF,RIB EYE STEAK/ROAST,70.25,154.66666666666666,21.939999999999998,7.446666666666666,1.0066666666666666,0.0,0.0,0.0,7.333333333333333,1.9433333333333334,22.0,153.66666666666666,280.0,58.0,5.473333333333334,0.07566666666666666,0.075,25.0,0.0,0.11,0.26433333333333336,5.486,0.54,0.48299999999999993,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,48.9,1.89,7.333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.10000000000000002,2.6666666666666665,1.5,2.8030000000000004,3.3113333333333337,0.4186666666666667,65.0,85.0,399.0,27.0
265,BEEF,RIB EYE STEAK/ROST,61.989999999999995,241.5,18.97,18.424999999999997,0.89,0.0,0.0,0.0,7.5,1.725,19.5,132.5,240.0,50.0,4.795,0.0685,0.0675,23.25,0.0,0.0965,0.2385,4.694,0.477,0.396,3.0,0.0,3.0,3.0,42.1,1.6800000000000002,15.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.135,0.15000000000000002,5.5,1.5,8.128,8.707,0.8785000000000001,71.0,85.0,363.0,3.5
266,BEEF,RIB EYE STEAK/RST,68.58,173.0,20.93,9.97,0.95,0.0,0.0,0.0,9.0,1.95,22.0,156.0,270.0,65.0,4.77,0.073,0.073,21.5,0.0,0.1,0.278,4.907,0.52,0.467,3.0,0.0,3.0,3.0,51.5,1.93,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,4.0,1.5,3.88,4.531,0.464,65.0,85.0,456.0,36.0
267,BEEF,RIB EYE STEK,57.42,248.0,26.29,15.9,1.05,0.0,0.0,0.0,10.0,2.28,25.0,170.0,301.0,58.0,6.5,0.091,0.0,35.8,0.0,0.075,0.291,5.58,0.0,0.565,6.0,0.0,6.0,6.0,0.0,2.18,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,1.6,7.226,7.786,0.81,77.0,85.0,266.0,5.0
268,BEEF,RIB EYE STK,55.6375,273.625,24.692500000000003,19.43125,0.9675,0.0,0.0,0.0,16.0,2.3475,22.75,162.5,265.5,58.875,5.803750000000001,0.07925,0.068625,28.612499999999997,0.0,0.08324999999999999,0.299625,5.124875,0.495,0.5005000000000001,6.25,0.0,6.25,6.25,44.462500000000006,2.11625,20.875,6.375,6.375,0.0,0.0,0.0,0.0,0.0,0.07749999999999999,0.15,5.875,1.5999999999999999,8.473500000000001,9.306875,0.9197500000000001,80.125,85.0,333.0,17.375
269,BEEF,RIB EYE STK/RST,63.96166666666667,221.5,19.424999999999997,15.986666666666665,0.9066666666666667,0.0,0.0,0.0,9.0,1.8116666666666668,19.5,137.16666666666666,248.0,56.333333333333336,4.623333333333334,0.06783333333333334,0.06766666666666667,21.05,0.0,0.09400000000000001,0.24716666666666667,4.699333333333333,0.4981666666666667,0.43333333333333335,3.1666666666666665,0.0,3.1666666666666665,3.1666666666666665,45.1,1.79,12.666666666666666,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.13333333333333333,5.166666666666667,1.5,6.96,7.547000000000001,0.7463333333333333,67.83333333333333,85.0,428.8333333333333,17.666666666666668
270,BEEF,RIBEYE,57.52,249.0,27.27,14.74,1.1,0.0,0.0,0.0,20.0,1.75,23.0,212.0,340.0,56.0,4.93,0.082,0.01,29.5,0.0,0.074,0.131,7.257,0.538,0.571,8.0,0.0,8.0,8.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.6,5.72,6.034,0.547,89.0,85.0,233.0,8.0
271,BEEF,RIBEYE CAP STEAK,62.43000000000001,211.16666666666666,22.23166666666667,12.955,0.9133333333333334,1.4749999999999999,0.0,0.0,6.5,2.93,24.5,216.83333333333334,354.1666666666667,85.16666666666667,8.896666666666667,0.142,0.0,28.71666666666667,0.0,0.08800000000000001,0.26299999999999996,3.683666666666667,0.0,0.38466666666666666,4.5,0.0,4.5,4.5,0.0,3.045,6.833333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,4.0,1.55,4.758666666666667,5.702333333333333,0.48999999999999994,69.66666666666667,85.0,233.33333333333334,11.0
272,BEEF,RIBEYE FILET,60.903333333333336,197.66666666666666,28.83666666666667,9.023333333333333,1.12,0.22666666666666668,0.0,0.0,6.0,3.03,27.666666666666668,255.0,400.6666666666667,66.33333333333333,8.479999999999999,0.11266666666666668,0.0,34.666666666666664,0.0,0.069,0.299,5.422,0.0,0.5233333333333333,7.0,0.0,7.0,7.0,0.0,3.27,6.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,4.0,1.6000000000000003,3.136333333333333,3.878,0.3363333333333333,82.0,134.0,0.0,6.0
273,BEEF,RIBEYE PETITE ROAST/FILET,71.67333333333333,132.0,22.689999999999998,4.556666666666667,1.0666666666666667,0.07333333333333333,0.0,0.0,5.0,2.2399999999999998,26.0,228.33333333333334,397.3333333333333,63.0,5.5566666666666675,0.09033333333333333,0.0,23.833333333333332,0.0,0.06633333333333334,0.19266666666666665,5.742333333333334,0.0,0.6223333333333333,4.0,0.0,4.0,4.0,0.0,2.9466666666666668,6.333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,3.0,1.5,1.6366666666666667,2.1189999999999998,0.18633333333333335,65.0,85.0,164.66666666666666,5.666666666666667
